type,entry_time,entry_price,sl,tp,adx,exit_time,exit_price,result,pnl,exit_reason
SELL,2025-04-24 02:30:00,3341.475,3353.475,3305.475,44.57579253720708,2025-04-24 11:15:00,3341.315,WIN,0.15999999999985448,EMA_FLIP
BUY,2025-04-27 22:00:00,3326.245,3314.245,3362.245,61.37084487689532,2025-04-27 22:15:00,3317.015,LOSS,-9.230000000000018,EMA_FLIP
BUY,2025-05-26 02:30:00,3352.548,3340.548,3388.548,45.13191624762078,2025-05-26 02:45:00,3347.848,LOSS,-4.699999999999818,EMA_FLIP
BUY,2025-06-08 22:00:00,3317.115,3305.115,3353.115,65.49758725440842,2025-06-08 22:30:00,3311.975,LOSS,-5.139999999999873,EMA_FLIP
BUY,2025-06-08 23:45:00,3317.798,3305.798,3353.798,52.26150302582521,2025-06-09 00:00:00,3311.595,LOSS,-6.2029999999999745,EMA_FLIP
BUY,2025-06-30 02:00:00,3279.635,3267.635,3315.635,41.2566886082138,2025-06-30 11:15:00,3275.795,LOSS,-3.8400000000001455,EMA_FLIP
BUY,2025-09-04 04:45:00,3532.885,3520.885,3568.885,48.17106529004418,2025-09-04 05:45:00,3526.948,LOSS,-5.937000000000353,EMA_FLIP
BUY,2025-09-04 06:00:00,3531.695,3519.695,3567.695,49.16415547925529,2025-09-05 12:30:00,3567.695,WIN,36.0,TP
SELL,2025-09-09 22:15:00,3623.638,3635.638,3587.638,45.62694704688244,2025-09-09 22:30:00,3630.955,LOSS,-7.317000000000007,EMA_FLIP
BUY,2025-09-17 12:45:00,3678.555,3666.555,3714.555,40.06264209791932,2025-09-17 18:00:00,3666.555,LOSS,-12.0,SL
SELL,2025-09-30 09:00:00,3799.345,3811.345,3763.345,45.757035031966815,2025-09-30 10:45:00,3811.345,LOSS,-12.0,SL
BUY,2025-09-30 11:30:00,3814.725,3802.725,3850.725,48.83188570523091,2025-09-30 12:30:00,3810.635,LOSS,-4.089999999999691,EMA_FLIP
BUY,2025-09-30 12:45:00,3819.045,3807.045,3855.045,42.60875524727517,2025-09-30 19:30:00,3855.045,WIN,36.0,TP
SELL,2025-10-17 13:45:00,4273.485,4285.485,4237.485,55.5052204371824,2025-10-17 14:00:00,4237.485,WIN,36.0,TP
BUY,2025-11-06 18:30:00,3989.135,3977.135,4025.135,42.04685401566359,2025-11-06 19:45:00,3984.998,LOSS,-4.137000000000171,EMA_FLIP
BUY,2025-11-13 21:00:00,4178.075,4166.075,4214.075,43.3343507541932,2025-11-13 21:15:00,4173.908,LOSS,-4.166999999999462,EMA_FLIP
BUY,2025-11-16 23:00:00,4098.445,4086.4449999999997,4134.445,41.89271950750843,2025-11-17 00:00:00,4086.4449999999997,LOSS,-12.0,SL
BUY,2025-11-28 09:30:00,4162.199,4150.199,4198.199,42.97128793035143,2025-11-28 14:15:00,4198.199,WIN,36.0,TP
BUY,2025-12-07 23:45:00,4200.665,4188.665,4236.665,66.72097899332286,2025-12-08 13:15:00,4202.805,WIN,2.1400000000003274,EMA_FLIP
BUY,2025-12-15 18:45:00,4312.935,4300.935,4348.935,43.41589387598468,2025-12-15 19:15:00,4309.125,LOSS,-3.8100000000004,EMA_FLIP
SELL,2026-01-02 15:00:00,4340.595,4352.595,4304.595,45.60816378351937,2026-01-04 23:00:00,4352.595,LOSS,-12.0,SL
BUY,2026-02-04 19:00:00,4946.638,4934.638,4982.638,53.20526190467164,2026-02-04 19:15:00,4934.638,LOSS,-12.0,SL
BUY,2026-02-04 20:30:00,4942.135,4930.135,4978.135,44.96070778203723,2026-02-04 20:45:00,4937.705,LOSS,-4.430000000000291,EMA_FLIP
BUY,2026-02-04 21:00:00,4953.235,4941.235,4989.235,41.222251969149966,2026-02-04 23:00:00,4989.235,WIN,36.0,TP
BUY,2026-02-12 01:15:00,5058.505,5046.505,5094.505,40.80853443786579,2026-02-12 12:45:00,5052.515,LOSS,-5.989999999999782,EMA_FLIP
BUY,2026-03-02 19:00:00,5330.235,5318.235,5366.235,41.4021986535537,2026-03-03 01:00:00,5366.235,WIN,36.0,TP
SELL,2026-03-08 22:00:00,5158.098,5170.098,5122.098,42.74578952492237,2026-03-08 22:30:00,5122.098,WIN,36.0,TP
BUY,2026-03-22 22:15:00,4524.025,4512.025,4560.025,50.854737116480386,2026-03-22 22:30:00,4512.025,LOSS,-12.0,SL
SELL,2026-04-02 03:45:00,4676.185,4688.185,4640.185,44.090548010302925,2026-04-02 05:30:00,4640.185,WIN,36.0,TP
